,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,can_book_w/out_host_approval,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,days_avaialable_next_365days,house_rules,license #,last review 
2,1002403,THE VILLAGE OF HARLEM....NEW YORK !,78829239556,,Elise,Manhattan,Harlem,40.80902,-73.9419,United States,US,True,flexible,Private room,2005.0,620.0,124.0,3.0,0.0,,,5.0,1.0,352.0,"I encourage you to use my kitchen, cooking and laundry facilities. There is no additional charge to use the washer/dryer in the basement.  No smoking, inside or outside. Come home as late as you want.  If you come home stumbling drunk, it's OK the first time. If you do it again, and you wake up me or the neighbors downstairs, we will be annoyed.  (Just so you know . . . )",,
128,1072030,Secluded Master Bedroom in Beautiful Huge Apt,44493053522,1.0,Dexter,Manhattan,Washington Heights,40.85879,-73.93128,United States,US,True,flexible,Private room,2010.0,736.0,147.0,15.0,36.0,8/17/2017,0.33,5.0,,266.0,No shoes and no smoking inside please. No smoking on the porches or around the house. The neighbors below us have a young child with severe asthma. ,,2017-08-17
174,1097436,West Inn 2 - East Village,56474290668,,Olivia,Manhattan,East Village,40.72518,-73.98034,United States,US,False,flexible,Private room,2020.0,185.0,37.0,99.0,84.0,6/23/2019,0.78,4.0,4.0,144.0,Smoking whatever is your preference is ok on the decks.  Please use ashtrays and dispose of debris.    Clean up after your pet but feel free to use the yard for bathroom activities.,,2019-06-23
226,1126156,PRIVATE Room on Historic Sugar Hill,46480721644,0.0,Allen,Manhattan,Harlem,40.8251,-73.94287,United States,US,True,flexible,Private room,2011.0,186.0,37.0,1.0,458.0,7/3/2019,4.58,4.0,2.0,338.0,- Animaux sur place (lapins) - respect du voisinage - Acces à la chambre des autres locataires interdit ,,2019-07-03
238,1132783,Private Room/bath Luxurious Harlem,6289503909,0.0,Payne,Manhattan,Harlem,40.81583,-73.94707,United States,US,False,flexible,Private room,,137.0,27.0,2.0,1.0,10/7/2018,0.11,4.0,1.0,173.0,smoking outside no pets quiet friendly people preferred,,2018-10-07
327,1181938,Cozy room in East Village with AC,28145791656,1.0,Chapman,Manhattan,East Village,40.72329,-73.98486,United States,US,False,flexible,Private room,2019.0,741.0,148.0,,182.0,7/4/2019,1.81,4.0,1.0,,This is a non smoking house.  Quiet hours are from 10pm until 8am.  Cars must be parked within fence so as not to block neighbors driveway.  One parking spot only per room. Please don't use the kitchen for cooking as cleanliness becomes difficult to maintain with the velocity of guests that we host.   Please place dirty dishes in the dishwasher unless it’s full of clean dishes!,,2019-07-04
360,1200164,"MANHATTAN Neat, Nice, Bright ROOM",81492867264,1.0,Phillips,Manhattan,Washington Heights,40.85295,-73.93361,United States,US,False,flexible,Private room,2021.0,50.0,10.0,2.0,136.0,6/17/2019,1.37,4.0,1.0,312.0,"Please be respectful of my things! I have a lot of stuff that I have collected over the years. Absolutely NO smoking. This is a really relaxing space and the neighbors are all really cool. -Pets are allowed -If you cook, please clean after yourself and make proper use of the garbage disposal.",,2019-06-17
445,1247110,Harlem/Hamilton Heights Cozy Room,58292705877,0.0,Sawyer,Manhattan,Harlem,40.82426,-73.9463,United States,US,True,flexible,Private room,2006.0,693.0,139.0,3.0,38.0,5/8/2018,0.42,4.0,3.0,145.0,- Please clean after yourself. Do not leave dishes and personal items in the common area such as the kitchen and Bathroom - Please do not bring guest over - Please don't play loud music,,2018-05-08
491,1272515,"Sunny, cozy room in Lower East Side",84473709196,1.0,Lucia,Manhattan,Lower East Side,40.71473,-73.98842,United States,US,False,flexible,Private room,2016.0,435.0,87.0,3.0,3.0,2/15/2016,0.04,4.0,2.0,9.0,,,2016-02-15
528,1292950,Sun-drenched East Village Penthouse,7807627593,1.0,Oliver,Manhattan,East Village,40.72566,-73.97748,United States,US,False,flexible,Private room,2010.0,152.0,30.0,3.0,81.0,3/28/2019,0.85,4.0,2.0,171.0,#NAME?,,2019-03-28
